gyro_s003_002 QTI-Gyroscope Non-wakeup,TDK-Invensense,2025-03-06_19-02-36.207_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel2_x[rad/s],ang_vel2_y[rad/s],ang_vel2_z[rad/s]
802488937,3,1741276962765133857,6.6046324E-4,0.0012101413,0.0011760527
802488948,3,1741276962775231357,-4.048003E-4,0.0012101413,1.107892E-4
802488958,3,1741276962785338753,-0.0014700638,1.4487782E-4,0.0011760527
802488968,3,1741276962795454222,6.6046324E-4,1.4487782E-4,0.0011760527
802488978,3,1741276962805576097,6.6046324E-4,1.4487782E-4,1.107892E-4
802488988,3,1741276962815713545,-4.048003E-4,1.4487782E-4,1.107892E-4
802488998,3,1741276962825858232,-4.048003E-4,1.4487782E-4,0.0011760527
802489008,3,1741276962836007347,-4.048003E-4,1.4487782E-4,0.0011760527
802489018,3,1741276962846162659,6.6046324E-4,1.4487782E-4,1.107892E-4
802489029,3,1741276962856322034,6.6046324E-4,1.4487782E-4,1.107892E-4
802489039,3,1741276962866484170,6.6046324E-4,1.4487782E-4,0.0011760527
802489049,3,1741276962876650784,6.6046324E-4,1.4487782E-4,1.107892E-4
802489059,3,1741276962886821253,-0.0014700638,1.4487782E-4,0.0011760527
802489069,3,1741276962896992763,6.6046324E-4,1.4487782E-4,0.0011760527
802489079,3,1741276962907165420,-4.048003E-4,-9.203857E-4,0.0011760527
802489090,3,1741276962917343336,6.6046324E-4,1.4487782E-4,0.0011760527
802489100,3,1741276962927522242,-4.048003E-4,1.4487782E-4,1.107892E-4
802489110,3,1741276962937701982,-4.048003E-4,1.4487782E-4,0.0011760527
802489120,3,1741276962947881722,6.6046324E-4,1.4487782E-4,0.0011760527
802489130,3,1741276962957911045,6.6046324E-4,1.4487782E-4,0.0011760527
802489140,3,1741276962967940784,-4.048003E-4,0.0012101413,1.107892E-4
802489150,3,1741276962977746201,6.6046324E-4,1.4487782E-4,1.107892E-4
802489160,3,1741276962987551617,-4.048003E-4,1.4487782E-4,0.0011760527
802489170,3,1741276962997357503,6.6046324E-4,1.4487782E-4,1.107892E-4
802489179,3,1741276963007164117,-4.048003E-4,1.4487782E-4,0.0022413163
802489189,3,1741276963016980940,-4.048003E-4,1.4487782E-4,0.0022413163
802489199,3,1741276963026799795,-4.048003E-4,1.4487782E-4,1.107892E-4
802489209,3,1741276963036622607,6.6046324E-4,1.4487782E-4,0.0011760527
802489219,3,1741276963046449326,-4.048003E-4,1.4487782E-4,0.0022413163
802489229,3,1741276963056279586,-4.048003E-4,1.4487782E-4,0.0011760527
802489238,3,1741276963066113753,6.6046324E-4,1.4487782E-4,1.107892E-4
802489248,3,1741276963075952242,6.6046324E-4,1.4487782E-4,0.0011760527
802489258,3,1741276963085795680,6.6046324E-4,1.4487782E-4,1.107892E-4
802489268,3,1741276963095644482,6.6046324E-4,1.4487782E-4,1.107892E-4
802489278,3,1741276963105499326,-4.048003E-4,1.4487782E-4,1.107892E-4
802489288,3,1741276963115369274,-4.048003E-4,0.0012101413,0.0022413163
802489298,3,1741276963125247763,-4.048003E-4,0.0012101413,0.0011760527
802489307,3,1741276963135135159,-4.048003E-4,1.4487782E-4,1.107892E-4
802489317,3,1741276963145032451,6.6046324E-4,0.0012101413,0.0011760527
802489327,3,1741276963154939795,-4.048003E-4,0.0012101413,1.107892E-4
802489337,3,1741276963164857451,-4.048003E-4,0.0012101413,-9.544743E-4
802489347,3,1741276963174784430,6.6046324E-4,0.0012101413,1.107892E-4
802489357,3,1741276963184720211,-4.048003E-4,1.4487782E-4,0.0011760527
802489367,3,1741276963194664795,-4.048003E-4,1.4487782E-4,0.0011760527
802489377,3,1741276963204618961,-4.048003E-4,-9.203857E-4,1.107892E-4
802489387,3,1741276963214589951,-4.048003E-4,1.4487782E-4,0.0011760527
802489397,3,1741276963224570211,6.6046324E-4,1.4487782E-4,0.0011760527
802489407,3,1741276963234559847,-4.048003E-4,0.0012101413,0.0011760527
802489417,3,1741276963244559430,-4.048003E-4,0.0012101413,1.107892E-4
802489427,3,1741276963254568597,-4.048003E-4,1.4487782E-4,1.107892E-4
802489437,3,1741276963264586982,6.6046324E-4,1.4487782E-4,1.107892E-4
802489447,3,1741276963274614586,-4.048003E-4,1.4487782E-4,0.0022413163
802489457,3,1741276963284651409,-4.048003E-4,1.4487782E-4,0.0011760527
802489467,3,1741276963294697138,-4.048003E-4,1.4487782E-4,1.107892E-4
802489477,3,1741276963304753857,6.6046324E-4,1.4487782E-4,0.0011760527
802489487,3,1741276963314823597,-0.0014700638,1.4487782E-4,1.107892E-4
802489497,3,1741276963324901930,-4.048003E-4,0.0012101413,-9.544743E-4
802489507,3,1741276963334988649,-4.048003E-4,1.4487782E-4,1.107892E-4
802489517,3,1741276963345084274,-4.048003E-4,1.4487782E-4,0.0011760527
