gyro_s001_004 Gyroscope Non-wakeup,STMicro,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
801246319,3,1741275720146417093,-3.054324E-4,6.108648E-4,0.0
801246329,3,1741275720156401468,-6.108648E-4,7.6358096E-4,1.527162E-4
801246339,3,1741275720166385426,-7.6358096E-4,1.527162E-4,-0.0
801246349,3,1741275720176368916,-3.054324E-4,1.527162E-4,-3.054324E-4
801246359,3,1741275720186353239,-1.527162E-4,0.0,3.054324E-4
801246369,3,1741275720196338499,1.527162E-4,1.527162E-4,0.0
801246378,3,1741275720206322874,1.527162E-4,6.108648E-4,3.054324E-4
801246388,3,1741275720216306364,-4.581486E-4,3.054324E-4,-3.054324E-4
801246398,3,1741275720226290270,-0.0010690134,-1.527162E-4,4.581486E-4
801246408,3,1741275720236275478,-4.581486E-4,9.162972E-4,3.054324E-4
801246418,3,1741275720246259437,-1.527162E-4,-7.6358096E-4,4.581486E-4
801246428,3,1741275720256243864,3.054324E-4,-0.0,3.054324E-4
801246438,3,1741275720266228239,-7.6358096E-4,1.527162E-4,6.108648E-4
801246448,3,1741275720276212197,-3.054324E-4,3.054324E-4,-1.527162E-4
801246458,3,1741275720286196624,-0.0012217296,3.054324E-4,4.581486E-4
801246468,3,1741275720296180999,-1.527162E-4,-3.054324E-4,1.527162E-4
801246478,3,1741275720306164958,-7.6358096E-4,0.0013744457,3.054324E-4
801246488,3,1741275720316148447,-6.108648E-4,-4.581486E-4,-3.054324E-4
801246498,3,1741275720326132562,0.0,6.108648E-4,-3.054324E-4
801246508,3,1741275720336118187,-4.581486E-4,9.162972E-4,-3.054324E-4
801246518,3,1741275720346101676,-1.527162E-4,-3.054324E-4,3.054324E-4
801246528,3,1741275720356085999,-6.108648E-4,0.0,-3.054324E-4
801246538,3,1741275720366070791,4.581486E-4,-1.527162E-4,-1.527162E-4
801246548,3,1741275720376054280,-9.162972E-4,-0.0,7.6358096E-4
801246558,3,1741275720385943187,-3.054324E-4,-1.527162E-4,0.0
801246568,3,1741275720395937666,-0.0010690134,1.527162E-4,7.6358096E-4
801246578,3,1741275720406119958,-3.054324E-4,1.527162E-4,-4.581486E-4
801246588,3,1741275720416185062,-7.6358096E-4,1.527162E-4,7.6358096E-4
801246598,3,1741275720426215010,-3.054324E-4,3.054324E-4,6.108648E-4
801246609,3,1741275720436397301,-4.581486E-4,1.527162E-4,4.581486E-4
801246619,3,1741275720446503551,1.527162E-4,3.054324E-4,3.054324E-4
801246629,3,1741275720456516468,-1.527162E-4,1.527162E-4,-1.527162E-4
801246639,3,1741275720466500791,-4.581486E-4,7.6358096E-4,1.527162E-4
801246649,3,1741275720476484749,3.054324E-4,3.054324E-4,1.527162E-4
801246659,3,1741275720486469228,-6.108648E-4,3.054324E-4,-0.0
801246669,3,1741275720496453551,-7.6358096E-4,1.527162E-4,3.054324E-4
801246679,3,1741275720506437510,0.0,-0.0,-4.581486E-4
801246689,3,1741275720516420947,-9.162972E-4,4.581486E-4,-4.581486E-4
801246699,3,1741275720526405426,-0.023823727,0.07498365,-0.0073303776
801246709,3,1741275720536390635,-0.08933897,0.25076,-0.009315688
801246719,3,1741275720546374958,-0.17745622,0.23167047,0.0151189035
801246729,3,1741275720556358916,-0.2716821,0.042455103,0.004734202
801246739,3,1741275720566343395,-0.3016145,-0.005497783,-0.008704823
801246748,3,1741275720576327197,-0.30970845,-0.014966187,-0.010537418
801246758,3,1741275720586216103,-0.30604327,-0.03451386,0.0029016077
801246768,3,1741275720596116885,-0.2922988,-4.581486E-4,0.006872229
