acc_s003_002 QTI-Accelerometer-Uncalibrated Non-wakeup,TDK-Invensense,2025-03-06_18-41-53.764_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),acc2_uncal_x[m/s^2],acc2_uncal_y[m/s^2],acc2_uncal_z[m/s^2]
801245096,3,1741275718923931885,-0.10882731,-9.793417,0.014713123
801245106,3,1741275718933939020,-0.11361571,-9.78384,0.03386674
801245116,3,1741275718943955374,-0.1040389,-9.78384,0.01950153
801245126,3,1741275718953981572,-0.11361571,-9.798205,0.009924725
801245136,3,1741275718964016780,-0.11361571,-9.788629,0.014713123
801245146,3,1741275718974060166,-0.11361571,-9.788629,0.014713123
801245156,3,1741275718984112301,-0.10882731,-9.788629,0.009924725
801245166,3,1741275718994173499,-0.1040389,-9.78384,0.0051363185
801245176,3,1741275719004243812,-0.11361571,-9.788629,0.0051363185
801245187,3,1741275719014331155,-0.1040389,-9.788629,0.0051363185
801245197,3,1741275719024427926,-0.10882731,-9.78384,0.0051363185
801245207,3,1741275719034531676,-0.10882731,-9.78384,0.024289936
801245217,3,1741275719044642666,-0.11361571,-9.788629,-0.0044404864
801245227,3,1741275719054759853,-0.10882731,-9.788629,0.01950153
801245237,3,1741275719064882718,-0.11361571,-9.78384,0.01950153
801245247,3,1741275719075011208,-0.10882731,-9.788629,3.479123E-4
801245257,3,1741275719085147041,-0.1040389,-9.788629,3.479123E-4
801245267,3,1741275719095288812,-0.10882731,-9.788629,0.014713123
801245278,3,1741275719105436416,-0.11361571,-9.793417,0.014713123
801245288,3,1741275719115594280,-0.10882731,-9.788629,-0.0044404864
801245298,3,1741275719125758239,-0.11361571,-9.793417,0.014713123
801245308,3,1741275719135924333,-0.11361571,-9.788629,0.01950153
801245318,3,1741275719146093968,-0.11840411,-9.793417,-0.0044404864
801245328,3,1741275719156265166,-0.11840411,-9.78384,0.009924725
801245339,3,1741275719166437145,-0.11840411,-9.788629,0.014713123
801245349,3,1741275719176535114,-0.10882731,-9.788629,0.014713123
801245359,3,1741275719186633083,-0.1040389,-9.793417,0.009924725
801245369,3,1741275719196534228,-0.11361571,-9.788629,0.014713123
801245379,3,1741275719206436208,-0.10882731,-9.788629,3.479123E-4
801245389,3,1741275719216349176,-0.10882731,-9.793417,-0.0044404864
801245398,3,1741275719226265374,-0.10882731,-9.793417,0.0051363185
801245408,3,1741275719236183187,-0.1040389,-9.793417,0.01950153
801245418,3,1741275719246103447,-0.10882731,-9.78384,0.014713123
801245428,3,1741275719256025843,-0.11361571,-9.798205,0.014713123
801245438,3,1741275719265951364,-0.10882731,-9.78384,0.014713123
801245448,3,1741275719275879072,-0.10882731,-9.774263,3.479123E-4
801245458,3,1741275719285809437,-0.11361571,-9.793417,-0.009228885
801245468,3,1741275719295744801,-0.10882731,-9.793417,-0.009228885
801245478,3,1741275719305685895,-0.10882731,-9.774263,0.009924725
801245488,3,1741275719315641833,-0.10882731,-9.774263,-0.0044404864
801245498,3,1741275719325600791,-0.10882731,-9.779052,-0.014017299
801245508,3,1741275719335562926,-0.11361571,-9.78384,-0.0044404864
801245518,3,1741275719345528187,-0.1040389,-9.788629,0.009924725
801245528,3,1741275719355497718,-0.0992505,-9.788629,3.479123E-4
801245538,3,1741275719365471728,-0.11361571,-9.78384,-0.014017299
801245548,3,1741275719375449385,-0.10882731,-9.788629,-0.0044404864
801245558,3,1741275719385431676,-0.11361571,-9.798205,-0.0044404864
801245568,3,1741275719395418083,-0.11361571,-9.788629,-0.014017299
801245578,3,1741275719405408551,-0.10882731,-9.78384,-0.009228885
801245588,3,1741275719415415791,-0.11361571,-9.788629,-0.018805698
801245598,3,1741275719425427353,-0.11361571,-9.793417,-0.009228885
801245608,3,1741275719435442978,-0.10882731,-9.788629,-0.009228885
801245618,3,1741275719445462353,-0.10882731,-9.788629,-0.0044404864
801245628,3,1741275719455486364,-0.11361571,-9.78384,3.479123E-4
801245638,3,1741275719465515062,-0.11361571,-9.793417,0.0051363185
801245648,3,1741275719475549020,-0.11361571,-9.793417,0.0051363185
801245658,3,1741275719485589385,-0.12319252,-9.788629,0.029078335
801245668,3,1741275719495636103,-0.1040389,-9.788629,-0.0044404864
801245678,3,1741275719505688447,-0.1040389,-9.78384,0.014713123
801245688,3,1741275719515755999,-0.11361571,-9.793417,0.009924725
801245698,3,1741275719525827249,-0.11840411,-9.788629,0.014713123
801245708,3,1741275719535900635,-0.10882731,-9.793417,0.009924725
801245718,3,1741275719545976937,-0.10882731,-9.788629,0.014713123
801245728,3,1741275719556055843,-0.10882731,-9.793417,0.01950153
801245738,3,1741275719566135999,-0.10882731,-9.793417,0.024289936
801245748,3,1741275719576217614,-0.10882731,-9.78384,0.01950153
801245758,3,1741275719586301103,-0.10882731,-9.788629,0.0051363185
801245769,3,1741275719596385426,-0.10882731,-9.78384,0.009924725
801245779,3,1741275719606470322,-0.10882731,-9.78384,0.014713123
801245789,3,1741275719616566103,-0.11840411,-9.793417,0.009924725
801245799,3,1741275719626564853,-0.10882731,-9.793417,0.014713123
801245809,3,1741275719636563916,-0.11840411,-9.793417,0.029078335
801245819,3,1741275719646563760,-0.10882731,-9.793417,0.01950153
801245829,3,1741275719656565530,-0.10882731,-9.788629,3.479123E-4
801245839,3,1741275719666570270,-0.10882731,-9.793417,0.0051363185
801245849,3,1741275719676576885,-0.10882731,-9.788629,-0.0044404864
801245859,3,1741275719686586155,-0.1040389,-9.779052,0.009924725
801245869,3,1741275719696597093,-0.10882731,-9.793417,0.014713123
801245879,3,1741275719706608916,-0.10882731,-9.793417,0.009924725
801245889,3,1741275719716628083,-0.1040389,-9.793417,3.479123E-4
801245899,3,1741275719726651937,-0.11361571,-9.793417,0.009924725
801245909,3,1741275719736676728,-0.1040389,-9.793417,0.014713123
801245919,3,1741275719746701780,-0.12319252,-9.788629,3.479123E-4
801245929,3,1741275719756727041,-0.10882731,-9.788629,0.024289936
801245939,3,1741275719766752353,-0.10882731,-9.788629,0.0051363185
801245949,3,1741275719776631937,-0.10882731,-9.78384,0.0051363185
801245959,3,1741275719786511989,-0.10882731,-9.788629,-0.0044404864
801245969,3,1741275719796392874,-0.10882731,-9.779052,0.014713123
801245978,3,1741275719806274853,-0.10882731,-9.78384,0.024289936
801245988,3,1741275719816164958,-0.10882731,-9.788629,3.479123E-4
801245998,3,1741275719826056676,-0.11840411,-9.793417,0.014713123
801246008,3,1741275719835953655,-0.11361571,-9.788629,0.009924725
801246018,3,1741275719845855635,-0.11361571,-9.793417,0.009924725
801246028,3,1741275719855763030,-0.11840411,-9.774263,0.024289936
