gyro_s001_004 Gyroscope Non-wakeup,STMicro,2025-03-06_18-50-19.416_TGW
imuTimestamp,accuracy(more=better),utcTimestamp(nanos),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
801751397,3,1741276225225323040,0.0,-7.6358096E-4,-4.581486E-4
801751407,3,1741276225235308613,6.108648E-4,-0.0,-6.108648E-4
801751417,3,1741276225245293457,3.054324E-4,-4.581486E-4,-7.6358096E-4
801751427,3,1741276225255278457,1.527162E-4,-1.527162E-4,0.0
801751437,3,1741276225265264030,-3.054324E-4,-1.527162E-4,-4.581486E-4
801751447,3,1741276225275248873,6.108648E-4,-0.0012217296,-7.6358096E-4
801751457,3,1741276225285233717,1.527162E-4,-7.6358096E-4,-4.581486E-4
801751467,3,1741276225295218717,4.581486E-4,-4.581486E-4,-4.581486E-4
801751477,3,1741276225305204290,7.6358096E-4,-3.054324E-4,-4.581486E-4
801751487,3,1741276225315188978,4.581486E-4,-0.0,-6.108648E-4
801751497,3,1741276225325172936,-1.527162E-4,-1.527162E-4,1.527162E-4
801751507,3,1741276225335159238,-1.527162E-4,-7.6358096E-4,-3.054324E-4
801751517,3,1741276225345144238,-4.581486E-4,-3.054324E-4,1.527162E-4
801751527,3,1741276225355129811,7.6358096E-4,-6.108648E-4,-0.0
801751537,3,1741276225365114655,-3.054324E-4,1.527162E-4,-3.054324E-4
801751547,3,1741276225375099498,6.108648E-4,-7.6358096E-4,-0.0012217296
801751557,3,1741276225385084498,6.108648E-4,3.054324E-4,-4.581486E-4
801751567,3,1741276225395070071,-1.527162E-4,-3.054324E-4,-4.581486E-4
